sitename,cond_mean_ann
US-Bkg,330.706370934844
US-Blo,378.2621527484485
US-Bo1,349.95736404955386
US-CF1,349.52920684218407
US-CF2,350.6544921696186
US-CF3,344.3277592897415
US-CF4,348.0583093881607
US-CRT,347.3318147957325
US-CS1,323.4353669062257
US-CS2,338.0956980288029
US-CS3,328.0046622902155
US-CS4,335.74438694119453
US-Cop,375.5534960627556
US-DFC,168.29113422892988
US-EDN,380.15860864520073
US-EML,161.5237465535219
US-FPe,320.0041092719351
US-Fcr,155.37050026841462
US-Fmf,213.3922802383701
US-Fuf,211.89266564448675
US-GLE,338.52779548056424
US-Goo,378.63655217488605
US-HB1,391.69655108451843
US-HWB,350.7541110217571
US-Ha1,335.9657043993473
US-Hn2,206.6610344313085
US-Hn3,359.1859324872494
US-Ho1,320.4547444482644
US-Ho2,324.1823964484713
US-ICh,126.43442956755558
US-ICs,217.2062073610723
US-ICt,248.48764049162466
US-Jo1,240.5072106773203
US-Jo2,401.2255135178566
US-KFS,358.24390130776624
US-KLS,363.28862262517214
US-KS2,394.18824653327465
US-Los,317.6210600104597
US-MMS,354.1701573621143
US-MOz,358.3734391015023
US-Me1,363.45838236808777
US-Me2,356.54910489603094
US-Me3,362.6626970569293
US-Me4,356.5324669480324
US-Me6,358.9263883382082
US-Mpj,389.892392543646
US-Myb,380.72546032567817
US-NC1,204.90842643380165
US-NC4,221.38486700103834
US-NGB,204.2657606722787
US-NGC,136.1950787032644
US-NR1,353.5964095937578
US-Ne1,346.4484168678522
US-Ne2,345.7015202478929
US-Ne3,346.0780344795097
US-ONA,NA
US-OWC,374.9617935717106
US-PFa,317.6601314142346
US-Prr,236.91157108048597
US-Rms,355.33545161145076
US-Ro1,324.3786641909526
US-Ro4,327.2343234028667
US-Ro5,322.14395432174206
US-Ro6,321.92045846283435
US-Rwe,353.12445614337923
US-Rwf,359.1587010877473
US-Rws,368.10614604609356
US-SP1,391.07336634397507
US-SP2,392.29474890232086
US-SP3,388.5853702425957
US-SRC,402.8517923610551
US-SRG,405.5335953036944
US-SRM,403.5443437045271
US-Seg,225.1192014356454
US-Ses,225.74340894619624
US-Sne,380.68725526332855
US-Snf,381.51417366663617
US-Syv,309.70048974667276
US-Ton,384.00875044720516
US-Tw1,381.79393765926363
US-Tw2,382.03429931402206
US-Tw3,384.74464903275174
US-Tw4,385.6080050468445
US-Tw5,380.5613292455673
US-Twt,378.923676109314
US-UM3,383.82535576820374
US-UMB,323.6168378551801
US-UMd,324.8200538376967
US-Var,384.2310914884914
US-WCr,318.4590913914144
US-Whs,405.18571112411365
US-Wjs,392.996658651034
US-Wkg,405.4144257571962
US-xAE,185.83440138101577
US-xBR,326.4434430897236
US-xCL,188.62254370450972
US-xCP,183.5834814583262
US-xDC,152.979315289855
US-xDL,189.63417361974717
US-xDS,196.37538837194444
US-xGR,185.8557369887829
US-xHA,166.86405297219753
US-xHE,132.7109845533967
US-xJE,192.28958451747894
US-xKA,186.83174821734428
US-xKZ,177.26276490390302
US-xMB,187.9521962225437
US-xML,178.31246329247952
US-xNG,156.8138166770339
US-xNQ,183.72982129454613
US-xRM,180.96040606498718
US-xSB,194.55645396709443
US-xSE,179.1212391883135
US-xSR,198.3293771147728
US-xST,157.30947439819573
US-xTA,189.08690586090088
US-xTR,157.3753392726183
US-xUK,176.88868892490865
US-xUN,154.70497702658176
US-xYE,167.20217910408974
ZA-Kru,403.79010369380313
ZM-Mon,412.9806948900223
