sitename,canopy_height,igbp_land_use,whc,koeppen_code,product,mat,p_over_pet,cti,aet,aet_corr,prec,prec_cond,pet,pet_over_prec,pet_over_prec_cond,aet_over_prec,aet_over_prec_cond,aet_corr_over_prec,aet_corr_over_prec_cond,cond_mean_ann
AU-Dry,12.300000190734863,SAV,672.0255126953125,Aw,plumber,28.526456097076615,0.5528027757372732,6.410485744476318,829.3007324187262,981.662800154519,977.912000688084,1380.9155427298626,2228.47152048118,2.278805781003986,1.6137638048999192,0.8480320640663054,0.6005441366669848,1.0038355183940844,0.7108782324326071,403.0035420417786
AU-Emr,2,GRA,130.61582946777344,Bsh,plumber,24.1386404701004,0.4157905478766846,5.533915042877197,408.5966356258815,663.1802348439594,627.0500016475125,1027.9346274698182,1999.140529476916,3.188167648870696,1.9448129054642767,0.6516173105052768,0.3974928217289562,1.0576193813914652,0.6451579868228843,400.8846258223057
AU-GWW,18,SAV,144.88778686523438,BWh,plumber,20.939712269277457,0.19247785274394896,10.991066932678224,262.89354233222866,330.41513365945536,303.92000046878826,702.1217520824052,1836.7981868936731,6.043689734339505,2.616067913358274,0.8650090218699743,0.37442728636809686,1.0871779848308736,0.4705952104168336,398.2017516136169
AU-Gin,7,WSA,439.7334899902344,Csa,plumber,20.979032071364404,0.4304866400038171,6.465897560119629,591.7857789946096,678.4603267102946,626.0268008782077,1020.7518579238265,2169.6861147925865,3.4658038789216223,2.1255764542086184,0.945304223660131,0.5797547899626468,1.0837560400905066,0.6646672464454378,394.7250570456187
AU-How,16,WSA,558.27484130859375,Aw,plumber,28.609480236152645,1.013849440541453,5.722897529602051,1209.3907818271418,1263.3701900507376,1649.0483670427238,2051.123471541587,2452.907739424274,1.4874686446117584,1.195884973994624,0.7333870891828176,0.5896235885391071,0.7661207611007603,0.615940584552529,402.0751044988632
AU-Lit,20,WSA,543.70849609375,Aw,plumber,28.02808827962722,1.017242860359615,6.415281772613525,1309.9553977921305,1477.1071643495916,1563.1999967190498,1967.333667943167,2232.752521221923,1.428321728446888,1.1349129827866207,0.8379960341233071,0.6658531895922257,0.9449252606511287,0.7508167975867034,404.1336712241173
AU-Otw,0.10000000149011612,GRA,359.4934997558594,Cfb,plumber,14.075084576590957,0.35278287264874947,4.628756999969482,671.9298601654871,812.8523820646835,391.8000016841688,766.7653638157644,1401.685332407612,3.57755315564678,1.828049881429443,1.714981769466994,0.8763174393032911,2.074661507326706,1.0601057643234817,374.9653621315956
AU-Rig,0.4000000059604645,GRA,196.72129821777344,Cfb,plumber,17.41543574265483,0.41614845725633853,7.1258039474487305,467.3066485377563,432.7043909450064,488.4916679813614,872.2651570592473,1544.2715945235627,3.1613059049811367,1.7704153169775994,0.9566317691125626,0.5357392127334684,0.8857968708721485,0.4960697873153904,383.7734890778859
AU-Rob,44,EBF,851.1192626953125,Cwa,plumber,21.13985399136267,5.9452466381574105,7.052748203277588,1172.0505508595893,1507.4273502877531,7894.795003512263,8299.650060096144,2446.8926382133195,0.3099374508299123,0.29481877193566575,0.1484586427308326,0.14121686364762373,0.19093939103132174,0.18162541063451668,404.8550565838814
AU-Sam,0.5,GRA,511.2165222167969,Cfa,plumber,22.113913648550714,0.9594958129242628,4.208469390869141,654.1550115167804,841.1877633904295,1253.593987222666,1653.200644804336,1924.9024194582248,1.535507061359508,1.1643489406490317,0.5218236671396765,0.39569002926090846,0.6710208982846819,0.5088237571368647,399.60665758166994
AU-Stp,0.5,GRA,324.3975830078125,BSh,plumber,28.17377989617602,0.41999721016446967,6.811386585235596,575.7809297623801,152.8559390529609,732.0000003046516,1135.5786185032848,1934.8860122217009,2.643286900842103,1.703876755597881,0.786585969293368,0.5070374876565312,0.2088195887832564,0.13460621445517182,403.5786181986332
AU-TTE,4.849999904632568,GRA,174.94302368164062,BWh,plumber,26.20116742256336,0.2327728971292625,6.794765949249268,319.0401044883605,338.00040347661076,387.0399994807668,791.5396914320418,1872.4558268632704,4.837887115996439,2.3655867761674103,0.8243078361832588,0.4030626738517154,0.8732957935356938,0.4270163671326519,404.4996919512749
AU-Tum,40,EBF,504.646728515625,Cfb,plumber,10.503214430760584,0.4882616775048496,4.934945106506348,909.5903389261124,1148.2719989834948,507.32137053583983,878.8823172164452,1635.0138597847608,3.2228365583295586,1.8603330932440418,1.792927307527752,1.0349398561196728,2.263401594477824,1.3065139399097798,371.5609466806054
AU-Whr,28,EBF,196.9843292236328,Cfb,plumber,16.71229022120771,0.34400563393211664,5.1105756759643555,508.9908885375115,481.0161304154636,409.3050008408682,791.3397475473539,1728.867051693322,4.22390893866816,2.184734252325505,1.2435491564770784,0.6432014695521829,1.1752021827910077,0.6078503347093399,382.03474670648575
AU-Wrr,90,EBF,259.1888122558594,Cfb,plumber,11.804799539010418,1.692627978959026,3.2755649089813232,585.1622399138512,786.3629026748223,1339.7742928253138,1704.6959785805666,1473.7530607565957,1.1000009991599016,0.8645254516196677,0.4367618061097904,0.3432648679098151,0.5869368496514002,0.4612921673749684,364.9216857552528
AU-Ync,0.5,GRA,238.2706298828125,BSk,plumber,25.484468085146503,0.21685505385045128,8.338541030883789,305.4455926995218,391.39999004655886,362.42053564679475,763.2467615150879,2104.238948618482,5.806069859874652,2.756957585304979,0.8427932819932721,0.40019245164328643,1.0799608508608538,0.5128092378271056,400.8262258682932
BE-Bra,21,MF,262.9107971191406,Cfb,icos_warmwinter2020,11.45397235320968,1.2964461402464649,5.210631847381592,312.2323170925155,328.39035338674984,802.2541177461821,1158.5803947041709,660.3329546323118,0.8230969963574915,0.5699500506401368,0.3891937855921355,0.2694955986824204,0.4093345813036341,0.2834420078984681,356.32627695798874
BE-Dor,0.4707806229810339,GRA,195.8311767578125,Cfb,icos_warmwinter2020,11.364062915018186,1.0414413842658847,6.830763816833496,137.96079422752447,0,618.9382029345552,977.6409117033998,940.9945206217196,1.5203367899415603,0.9625154894368844,0.2228991417453546,0.14111601977370963,0,0,358.7027087688446
BE-Lcr,19.4375,DBF,192.59117126464844,Cfb,icos_warmwinter2020,12.53507939467009,1.213449911180734,5.908210277557373,428.5532329777626,0,761.6809992484492,1124.2023337177675,0,0,0,0.5626413595725982,0.38120649648584654,0,0,362.5213344693184
BE-Lon,1,CRO,183.68844604492188,Cfb,icos_warmwinter2020,12.085368542054674,1.1989392148315507,4.730678558349609,376.37089279487134,526.3389679022155,716.5338845515527,1077.0748962742014,735.9226477531976,1.027059101627524,0.6832604216279557,0.5252660075251367,0.3494379955347645,0.7345625646603274,0.48867443640448593,360.5410117226488
BE-Maa,2,CSH,248.58624267578125,Cfb,icos_warmwinter2020,12.33760775999516,1.21186797041123,6.9987382888793945,300.4010494773484,0,785.569801866061,1145.809447108752,0,0,0,0.3823989272038827,0.26217365394861897,0,0,360.23964524269104
BE-Vie,35,MF,224.2619476318359,Cfb,icos_warmwinter2020,9.144253118504071,1.3008596914749688,4.410557746887207,373.12228419198016,458.5073435653139,900.2209232870268,1249.3500152698684,986.6843096824394,1.0960468526766785,0.7897581123167543,0.41447857358122486,0.2986531233294003,0.5093275791581698,0.36699670865755984,349.1290919828415
BR-CST,2,DNF,732.203369140625,Bsh,ameriflux,27.847447372737516,0.2486625431408619,3.783748149871826,434.71562879658586,0,439.3690034492635,846.0738128765249,1166.3497539012324,2.6546018147498143,1.3785437347786678,0.9894089600856083,0.5138034320180854,0,0,406.70480942726135
BR-Npw,18,WSA,545.24578857421875,Aw,ameriflux,27.280183576993817,0.8569785968664791,6.812227249145508,1209.4273112336812,0,1501.2786003433716,1903.5765466534149,1414.1991715622116,0.9419964896846973,0.742916891915088,0.8055981820809686,0.6353447216818868,0,0,402.29794631004336
BR-Sa3,40,EBF,661.40325927734375,Am,plumber,26.6714755590447,0.9007651932469856,7.05645751953125,1209.465497698122,1434.4546729250044,1408.0369957897344,1810.0527347140787,1751.6842664574772,1.2440612510149274,0.9677531670005064,0.858972812017458,0.6681935142012162,1.0187620618025401,0.7924933044293845,402.0157389243443
BW-Ma1,8,SAV,359.0039367675781,BSh,plumber,24.571028516772937,0.32313987861910326,6.107773780822754,461.5143248065852,608.1028436891698,429.47418812138943,840.7876124702207,2250.2177140511362,5.239471372875894,2.6763212024973018,1.074603171905036,0.5489071413060707,1.4159240776474595,0.7232538094877176,411.3134243488312
CA-ARB,0.8200000047683715,WET,851.85333251953125,Dfb,ameriflux,-0.02402126342403052,0.8203143448557522,10.361634254455566,344.0927500695958,0,431.0406011064515,607.0645064433083,0,0,0,0.7982838488679105,0.5668141464662115,0,0,176.02390533685684
CA-ARF,0.8200000047683715,WET,851.85333251953125,Dfb,ameriflux,0.1930609273848175,0.8575884376565294,10.566325187683104,351.2537179934201,0,448.9098014097908,625.6545692231754,0,0,0,0.7824594537484277,0.5614179697105759,0,0,176.74476781338453
CA-Ca1,15.01866664759318,ENF,293.2023620605469,Cfb,ameriflux,12.874985913968194,2.9351854031441524,4.041609287261963,364.82618681929057,516.4915068663216,2355.747734179422,2540.8868769549576,912.5880052343352,0.3873878310455925,0.3591612100134093,0.15486640675741561,0.14358222324974362,0.21924737499375382,0.20327213759523757,185.1391427755356
CA-Ca2,15.01866664759318,ENF,301.47882080078125,Cfb,ameriflux,9.949193461929084,3.441027867215924,4.164167881011963,278.98899479384323,380.8342732942368,2056.5305006877625,2238.0917016840026,851.6741914741243,0.4141315634216464,0.38053587832585273,0.13566003261344353,0.1246548542152782,0.18518289573963284,0.17016026332061662,181.56120099624
CA-Cbo,23.183333333333337,DBF,247.0664825439453,Dfb,ameriflux,8.64235881298137,1.1717520255338447,4.099686622619629,480.7041007802326,613.3977905967847,928.3165933883234,1255.040691209771,1219.785391605891,1.313975641816028,0.9719090386066316,0.5178234496764507,0.38301873727844443,0.6607635745881736,0.4887473329693497,326.7240978214476
CA-DB2,2.596904761904762,WET,221.9344940185547,Csb,ameriflux,11.078052071336526,2.1575758836345953,9.10678482055664,201.77221471793425,253.76666785052885,1265.9600035018798,1619.609435803401,615.2594520583386,0.48600228313407773,0.37988137044480824,0.15938277209374305,0.12458078488400873,0.20045393784050305,0.15668386602393983,353.6494323015213
CA-DBB,2.596904761904762,WET,221.9344940185547,Csb,ameriflux,11.550997586394065,1.408776463997708,9.96415901184082,386.636707319931,587.4689060631222,1158.2747187221198,1513.9753830805994,925.085784094032,0.7986756243066789,0.6110309285291617,0.33380397678582896,0.25537846364001787,0.5071930661762645,0.3880306857220856,355.7006643584796
CA-ER1,1.9984558823529412,CRO,165.9332275390625,Dfb,ameriflux,8.479880270009216,1.429303465581815,5.974582672119141,638.2159201124041,0,1008.58300068287,1337.0194959969117,0,0,0,0.6327847283568079,0.4773422691465961,0,0,328.4364953140418
