sitename,pet_p,aet_p,aet_corr_p_cond,aet_corr_p,aet_p_cond,pet_p_cond,res,res_corr,res_cond,res_corr_cond
CA-Ca2,0.4141315634216464,0.13566003261344353,0.17016026332061662,0.18518289573963284,0.1246548542152782,0.38053587832585273,-0.23049850584370443,-0.21687692643602444,-0.13994046072556157,-0.15545109997357998
CA-Cbo,1.313975641816028,0.5178234496764507,0.4887473329693497,0.6607635745881736,0.3830187372784444,0.9719090386066316,-0.23369940870635042,-0.2149306644563055,-0.0934651955078094,-0.12582697044672564
CA-DB2,0.4860022831340778,0.15938277209374305,0.15668386602393983,0.20045393784050303,0.12458078488400871,0.37988137044480824,-0.25711159804541905,-0.2644709593656478,-0.13968015683505042,-0.1684715078793033
CA-DBB,0.7986756243066789,0.33380397678582896,0.3880306857220856,0.5071930661762645,0.25537846364001787,0.6110309285291617,-0.25525563770154625,-0.18133055199153714,-0.11043187098155499,-0.07716841887138065
CA-Gro,1.3132443799959297,0.4627182797989319,0.477677890866811,0.6484796756134595,0.34084382328679586,0.9673515288443196,-0.28864609662738483,-0.2270636866273238,-0.1345029479065314,-0.13541865152882282
CA-LP1,1.8884560786307325,0.4535799967794558,0.3332524205355855,0.5250631290185113,0.28788277728781,1.198584559641864,-0.3866698248902618,-0.4214386468557616,-0.23897153357196166,-0.34495222429040845
CA-MA2,1.795945282944461,0.8269941017783932,0.9129877093689536,1.2491045691492209,0.6044613631976014,1.3126811081511316,-0.0027204314264016594,0.3095181984631188,0.05614989837669382,0.20891812690899858
CA-MA3,1.6102258179519358,0.9296044542610647,0.9446937465360644,1.2926966753017022,0.679348474759199,1.176741837272141,0.12472137720965393,0.37103624783648415,0.15687097309596998,0.2718629253892334
CA-Qcu,1.0338531725381397,0.3513963266840434,0.2804624493056676,0.3645203918347363,0.2703647770232367,0.7954479351156306,-0.32631359572704066,-0.4329911875006397,-0.15770769454885847,-0.2699283644205683
CA-Qfo,1.184332305586806,0.31032648763902027,0.35166660151974244,0.4555408714019724,0.23956458820853915,0.9142760685643052,-0.41052762040916757,-0.38950527561583526,-0.22212428154455316,-0.24355843476642353
CA-SF1,1.9603960114437935,1.2044992860380257,1.109544471785529,1.4560692493797731,0.9178447554347978,1.493848289107394,0.3567645901285357,0.5049062459897162,0.33967555027899266,0.37091073025211174
CA-SF1,1.9603960114437935,1.2044992860380257,1.109544471785529,1.4560692493797731,0.9178447554347978,1.493848289107394,0.3567645901285357,0.5049062459897162,0.33967555027899266,0.37091073025211174
CA-SF2,2.080326691186916,1.241870107591224,0.8303150617564027,1.5120401645939576,0.6819550691994615,1.1423814165215724,0.38286006442299625,0.5542514984111027,0.1665518864698664,0.16623681542353552
CA-SF3,2.284423897273258,0.8429500975110327,0.819885378349322,1.121768624800812,0.6161007219738838,1.6696542494747462,-0.03236061682534164,0.15524386302407422,0.012997356438630203,0.053767815000843044
CA-SF3,2.284423897273258,0.8429500975110327,0.819885378349322,1.121768624800812,0.6161007219738838,1.6696542494747462,-0.03236061682534164,0.15524386302407422,0.012997356438630203,0.053767815000843044
CA-TP1,1.3882873976518544,0.40907221881444467,0.3997020096281437,0.5618777590458919,0.29100099676631386,0.9875836048843322,-0.35778678416187826,-0.328027811746062,-0.18935252499437927,-0.21988856532437023
CA-TP3,1.2068612816182027,0.39744436895221047,0.3957107069703734,0.5145522721872445,0.30565017534747535,0.9281232573986652,-0.32913223602625363,-0.33642669033856343,-0.1596773162903405,-0.20429704202626725
CA-TPD,1.7705531591439074,0.4122150615120596,0.4876501254353668,0.6763491545928505,0.2972085129221631,1.2765750711498536,-0.41441143743802816,-0.2611319046208568,-0.24455645301987916,-0.20861501290307938
CH-Aws,0.07605124508381064,0.5723695137237031,0.15234937063575538,0.1760048034672789,0.4954417917526377,0.06582979041670392,0.49715340390559726,0.09998323283566726,0.4360891680293115,0.08777962793968241
CH-Cha,0.7318616775693267,0.6419075896295195,0.6146862738785067,0.8071249821538312,0.4888608247396571,0.5573676165729461,0.08386935568113774,0.15874120855633567,0.14396994126810414,0.17842349329477913
CH-Dav,0.9436764629991828,0.6902376175054021,0.550446262426478,0.778580889072448,0.48798875245273543,0.6671666223615768,0.04308945286573307,0.017276538027914845,0.10174381556572698,0.057079810109909146
CH-Fru,0.29305950404942727,0.45801738155086263,0.2881846234506015,0.3585199820166562,0.3681623710165578,0.23556634792863673,0.18619930463663642,0.0690306336940471,0.18583605186427987,0.07242145098779551
CN-Cng,3.0324289345036357,1.2527093548130122,0.9900511628510764,1.9083145432999524,0.6499171521809757,1.5732520634029852,0.337901193255131,0.9247439934801744,0.06004554607336532,0.23835592264302585
CN-Du2,3.885882663678449,1.2080036820450022,0.6754065618539666,1.4218209628526222,0.5738370968732989,1.8459079716881632,0.2685907405212833,0.43057652964730075,-0.051048693601519535,-0.11362492144375125
CN-HaM,2.3077654975537203,0.5757022307324587,0.5797161210996601,0.94451859084784,0.3533481154765412,1.4164346531798384,-0.3012745839835719,-0.02284300152564489,-0.2126362902946657,-0.14502201521545988
CZ-BK1,0.7972693725435199,0.28643346765150207,0.14323461471645743,0.18286634872853788,0.2243561358676547,0.6244810605970255,-0.30200262057180144,-0.5048564944324175,-0.14648013374286714,-0.3289042895031999
CZ-KrP,1.6164343925429547,0.6278647696944203,0.6967517059208272,0.9209538490199448,0.47501386723961736,1.2229205857730323,-0.17793928966635641,-0.0014118288493013553,-0.05661081303445026,0.0127269057476036
CZ-RAJ,1.9317960560305287,0.5289102534173127,0.44684951900846914,0.583741875499553,0.4048763713172307,1.4787737092203186,-0.31591820068203624,-0.365636149855883,-0.17098255031190585,-0.28917243665425585
